title;alias;type;catid;short_description;description;geodata;latitude;longitude;geo_x;geo_y;geo_z;zoom;address;addr_no;addr_addinfo;zip_code;city;region;country;phone;url;email;additional_fields;image;icons;published;created;modified
WC Muffathalle;wc-muffathalle;toilet;192;HalbÃ¶ffentliche Toilette in einem Veranstaltungsort.;;1;4.813.321;1.158.971;41.653.191.163.239;85.423.766.241.804;47.444.742.253.798;14;Zellstr.;4;;82667;MÃ¼nchen;;DE;089 45 87 50 10;;;"{""wc_shortname"":""ve-muffat1WC1"",""wc_plan"":""ve-muffat2WC1"",""wc_fotos"":""ve-muffat2WC1f1, ve-muffat2WC1f2"",""wc_location"":""<p>Zum Haupteingang der Muffathalle f\u00fchrt von beiden Seiten je eine Rampe. Sie ist beidseitig mit Handl\u00e4ufen versehen. Die vordere Rampe ist etwas ung\u00fcnstiger als die hintere.<br \/>Eine Doppelfl\u00fcgelt\u00fcr \u00f6ffnet nach au\u00dfen auf 2x120 cm lichte Weite. Der T\u00fcrgriff ist ab 110 cm H\u00f6he.<\/p>"",""wc_ramp_length"":""vordere: 8,5 m, hintere: 9"",""wc_ramp_incline"":""vordere: 9%, hintere: 7"",""wc_infos"":""<p>Das Caf\u00e9 ist gleich rechts durch eine weitere T\u00fcr, die nach au\u00dfen aufschl\u00e4gt (lichte Weite 100+40 cm, T\u00fcrgriff in 105 cm H\u00f6he), mit Anschlag rechts, erreichbar.<br \/>Das WC ist direkt im Cafe und schwellenlos erreichbar. Die erste T\u00fcr zum Rolli-WC \u00f6ffnet nach au\u00dfen, Anschlag rechs, ist 90 cm breit und sehr schwerg\u00e4ngig.<\/p>"",""wc_easy"":""Der WC-Sitz ist niedrig.\r\nMan kann den WC-Sitz von vorn und von der linken Seite anfahren. \r\nVon der rechten kann man mit einem schmalen Rollstuhl anfahren."",""wc_euro"":""0"",""wc_doorknob"":""100"",""wc_doortaster"":"""",""wc_dooropens"":""ar"",""wc_doorautopen"":""nz"",""wc_door_width"":""90"",""wc_room_diameter"":""150"",""wc_roominfos"":""<p>An der <strong>Au\u00dfenseite<\/strong> der eigentlichen WC-T\u00fcr ist ein B\u00fcgel in 85 cm H\u00f6he angebracht.<br \/>Das Waschbecken ist links von der T\u00fcr, Oberkante 85 cm und auf 70 cm unterfahrbar. \u00dcber dem Waschbecken h\u00e4ngt ein Spiegel ab Unterkante 90 cm.<\/p>"",""wc_seat"":""43"",""wc_accessleft"":""63"",""wc_accessright"":""95"",""wc_numgrip"":""zwei"",""wc_wheregrip"":""lfr"",""wc_addinfo"":""<p>Das WC-Becken ist gegen\u00fcber von der T\u00fcr. Die Sp\u00fclung wird an der Wand hinter dem WC-Becken in 100 cm H\u00f6he ausgel\u00f6st.<br \/><br \/><br \/>Weitere Informationen zur Barrierefreiheit unter: <br \/><a href=\""https:\/\/www.kultur-barrierefrei-muenchen.de\/muffathalle\/\"">Kultur Barrierefrei M\u00fcnchen<\/a><\/p>""}";"{""image_small"":""images\/wc-nz\/ve-muffat2WC1f2.jpg"",""image"":""images\/wc-header\/ve-muffat2WC1f2q.jpg"",""alt"":"""",""caption"":""Sanit\u00e4rraum mit Waschbeckenanschnitt und WC-Becken."",""width"":"""",""height"":""""}";"{""0"":""2"",""1"":""4"",""2"":""20""}";1;1/1/2009 0:00;18/08/2021 18:00
WC Ayinger im Wolf Ferrari Haus;wc-ayinger-im-wolf-ferrari-haus;toilet;212;HalbÃ¶ffentliche Toilette in einer GaststÃ¤tte.;<p>Der Zugang zum Haus ist von beiden Seiten her mÃ¶glich. Vom Rathausplatz oder vom Biergarten her. <br />Im UntergeschoÃŸ des Hauses, beim Kinosaal, ist noch eine weitere Toilette.</p>;0;480.652.332;116.658.522;41.696.899.428.375;86.090.991.839.356;47.394.262.198.088;14;Am Bogen;33;;85521;Ottobrunn;Bayern;Deutschland;089 74 74 74 05;;;"{""wc_shortname"":""wolffe1WC"",""wc_plan"":""wolffe1WC1"",""wc_fotos"":""wolffe1fWC1"",""wc_location"":"""",""wc_ramp_length"":""0,3"",""wc_ramp_incline"":""20"",""wc_infos"":""<p>Vor der Rampe ist der Weg gepflastert. Aber der Zugang vom Rathausplatz her ist barrierefrei siehe Wirtshaus <a href=\""http:\/\/www.cbf-muenchen.de\/orte-fuer-rollis\/lokale-muenchen\/7831-ayinger-im-wolf-ferrari-haus-landkreis-muenchen\"" rel=\""alternate\"">Ayinger<\/a>.<\/p>"",""wc_easy"":""Die Toilette ist eng. \r\nMan kann den WC-Sitz von der linken Seite und von vorn anfahren."",""wc_euro"":""ka"",""wc_doorknob"":""105"",""wc_doortaster"":"""",""wc_dooropens"":""ar"",""wc_doorautopen"":""nz"",""wc_door_width"":""93"",""wc_room_diameter"":""120"",""wc_roominfos"":""<p>An der T\u00fcr ist innen ein B\u00fcgel in 88 cm H\u00f6he zum Zuziehen der T\u00fcr angebracht. <br \/>Das Waschbecken ist sbis 70 cm H\u00f6he unterfahrbar, Oberkante 84cm. Es h\u00e4ngt links von der T\u00fcr. <br \/>Links neben dem Waschbecken ist ein fester B\u00fcgel und dr\u00fcber h\u00e4ngt ein Kippspiegel, den man in 128cm H\u00f6he kippen kann.<\/p>"",""wc_seat"":""50"",""wc_accessleft"":""75"",""wc_accessright"":"""",""wc_numgrip"":""zwei"",""wc_wheregrip"":""lfr"",""wc_addinfo"":""<p>Wenn die Wickelkommode hochgeplappt ist, dann hat man rechts 125 cm Platz zum Anfahren. <br \/>Im Sitzen links neben dem WC in Haltegriffh\u00f6he ist ein Notrufknopf.<\/p>""}";"{""image_small"":""images\/wc-nz\/wolffe1fWC1.jpg"",""image"":""images\/gastro-header\/wolffe1fa1q.jpg"",""alt"":"""",""caption"":""Wolf Ferrari Haus. Die Fassade."",""width"":"""",""height"":""""}";"{""0"":""2"",""1"":""4"",""2"":""11""}";1;1/1/2009 0:00;18/08/2021 18:03
WC ParkcafÃ©;wc-parkcafe;toilet;189;HalbÃ¶ffentliche Toilette in einer GaststÃ¤tte.;<p><strong> Zugang zum WC </strong><br />Das WC ist im Erdgeschoss und direkt vom Gastraum zugÃ¤nglich. Die TÃ¼r hat 80cm lichte Weite, Anschlag links und Ã¶ffnet nach auÃŸen.<br /><strong>SanitÃ¤rraum </strong><br /> <strong>- RaummaÃŸe </strong> 205x220cm. <br /> <strong>- Das WC-Becken </strong> ist gegenÃ¼ber der TÃ¼r, SitzhÃ¶he 50cm, mit zwei beweglichen BÃ¼geln. Das WC ist beidseitig anfahrbar, rechts auf 100cm und links auf 70cm. Die SpÃ¼lung ist hinter dem WC-Becken auf 107cm. Im Eck zwischen WC und Waschbecken hÃ¤ngt ein Schnurnotruf an der Wand. Er endet allerdings auf 70cm Ã¼ber dem Boden.<br /> <strong> - Das Waschbecken</strong>, rechts von der TÃ¼r, links vom WC, Oberkante 84cm, ist unterfahrbar und hat in 30cm Tiefe 70cm lichte HÃ¶he. DarÃ¼ber hÃ¤ngt ein Kippspiegel, der, da er etwas zurÃ¼ckversetzt ist, vom Rollstuhl aus schlecht zu erreichen ist (140cm ab Boden). <br /><strong>- Die BewegungsflÃ¤che </strong>vor WC und Waschbecken ist 125cm. Der TÃ¼rgriff ist auf 85cm.</p>;1;48.142.327.449.999.900;11.564.598.440.050.300;41.649.533.991.134;8.522.606.420.596;47.451.507.859.298;14;Sophienstr.;7;;80333;MÃ¼nchen ;Bayern;Deutschland;089 59 83 13;http://www.parkcafe089.de;info@parkcafe089.de;"{""wc_shortname"":""parkca1WC1"",""wc_plan"":""parkca1WC"",""wc_fotos"":""parkca1fWC1"",""wc_location"":"""",""wc_ramp_length"":"""",""wc_ramp_incline"":"""",""wc_infos"":"""",""wc_easy"":"""",""wc_doorknob"":"""",""wc_doortaster"":"""",""wc_dooropens"":""nz"",""wc_doorautopen"":""nz"",""wc_door_width"":"""",""wc_room_diameter"":"""",""wc_roominfos"":"""",""wc_seat"":"""",""wc_accessleft"":"""",""wc_accessright"":"""",""wc_numgrip"":"""",""wc_wheregrip"":""none"",""wc_addinfo"":""""}";"{""image_small"":""images\/wc-nz\/parkca1fWC1.jpg"",""image"":"""",""alt"":"""",""caption"":"""",""width"":"""",""height"":""""}";{};1;1/1/2009 0:00;16/10/2020 10:25
WC Ho Restaurant, Unterhaching;wc-ho-restaurant;toilet;212;HalbÃ¶ffentliche Toilette in einer GaststÃ¤tte.;<p>Die WC-Anlage ist im Erdgeschoss. Der Zugang zum Lokal ist stufenlos.</p>;1;480.793.912;116.061.772;41.694.370.287.747;85.633.097.676.853;47.404.781.532.361;14;Parkstr.;15;;82008;Unterhaching ;Bayern;Deutschland;089 61 19 96 41;;;"{""wc_shortname"":""hoxxxx1"",""wc_plan"":""hoxxxx1WC1"",""wc_fotos"":"""",""wc_location"":"""",""wc_ramp_length"":"""",""wc_ramp_incline"":"""",""wc_infos"":""<p>Die erste T\u00fcr vom Gastraum her ist 90 cm breit, \u00f6ffnet nach innen und ist rechts angeschlagen. Diese T\u00fcr hat innen und au\u00dfen je einen B\u00fcgel im 85 cm H\u00f6he, zum Erleichterung beim Zuziehen.<\/p>"",""wc_easy"":""Die Toilette ist gut.\r\nMan kann den WC-Sitz von der linken Seite und von vorn anfahren."",""wc_euro"":""ka"",""wc_doorknob"":""105"",""wc_doortaster"":"""",""wc_dooropens"":""ar"",""wc_doorautopen"":""nz"",""wc_door_width"":"""",""wc_room_diameter"":""150"",""wc_roominfos"":""<p><strong>Informationen zum Sanit\u00e4rraum<br \/><\/strong>An der Rolli-WC-T\u00fcr ist innen ein weiterer B\u00fcgel in 85 cm H\u00f6he zum Zuziehen der T\u00fcr angebracht. Der Lichtschalter ist in 95 cm H\u00f6he.<br \/>Das Waschbecken ist bis 70 cm H\u00f6he unterfahrbar, Oberkante 86 cm. Es h\u00e4ngt gegen\u00fcber von der T\u00fcr.<br \/>\u00dcber dem Waschbecken h\u00e4ngt ein Kippspiegel, dessen Kurbel man in 105 cm H\u00f6he bewegen kann.<\/p>"",""wc_seat"":""48"",""wc_accessleft"":""90"",""wc_accessright"":"""",""wc_numgrip"":""zwei"",""wc_wheregrip"":""lfr"",""wc_addinfo"":""<p>Leider ist der B\u00fcgel rechts vom WC fest. Wenn er beweglich w\u00e4re k\u00f6nnte man auf der rechten Seit auch bequem auf 90 cm anfahren. Die Sp\u00fclung ist hinter dem WC.Becken in 105 cm H\u00f6he.<\/p>""}";"{""image_small"":""images\/wc-gm\/hoxxxxfa1.jpg"",""image"":""images\/wc-header\/hoxxxxf1WCq.jpg"",""alt"":"""",""caption"":""Sanit\u00e4rraum mit WC-Becken und Waschbecken."",""width"":"""",""height"":""""}";"{""0"":""4"",""1"":""11""}";1;1/1/2009 0:00;18/08/2021 18:09
WC CafÃ© Regenbogen - Haar;wc-cafe-regenbogen-haar;toilet;212;HalbÃ¶ffentliche Toilette in einer GaststÃ¤tte;<p>Das WC ist im Erdgeschoss und stufenlos erreichbar. Man geht durch die TÃ¼r nach dem Tresen (TÃ¼rbreite 95 cm, Ã¶ffnet nach auÃŸen und ist links angeschlagen, TÃ¼rgriff auf 105 cm), dann nach rechts wenden.</p>;1;481.162.387;117.470.188;4.164.333.783.611;86.595.662.315.645;47.432.145.498.056;14;Ringstr.;36;;85540;Haar;Bayern;Deutschland;089 46 64 10;;;"{""wc_shortname"":""regenb1WC"",""wc_plan"":""regenb1WC"",""wc_fotos"":""regenb1WCf1"",""wc_location"":"""",""wc_ramp_length"":"""",""wc_ramp_incline"":"""",""wc_infos"":"""",""wc_easy"":""Die Toilette ist gut. \r\nDer WC-Sitz ist hoch. \r\nMan kann von der rechten Seite und von vorn anfahren. \r\nEs gibt nur einen beweglichen B\u00fcgel auf der linken Seite."",""wc_euro"":""ka"",""wc_doorknob"":""105"",""wc_doortaster"":"""",""wc_dooropens"":""ar"",""wc_doorautopen"":""nz"",""wc_door_width"":""92"",""wc_room_diameter"":""140"",""wc_roominfos"":""<p>Das Waschbecken ist gleich rechts von der T\u00fcr, Oberkante 84cm und auf 73cm unterfahrbar. Der Spiegel \u00fcber dem Waschbecken ist gro\u00df h\u00e4ngt ab Unterkante 100 cm.<br \/>Der Lichtschalter ist in 115 cm H\u00f6he.Den Raum kann man nicht verriegeln (Mai 2017).<\/p>"",""wc_seat"":""53"",""wc_accessleft"":""115"",""wc_accessright"":"""",""wc_numgrip"":""einer"",""wc_wheregrip"":""l"",""wc_addinfo"":""<p>Die WC-Sp\u00fclung wird in 110 cm H\u00f6he an der Wand hinter dem WC-Becken ausgel\u00f6st.<br \/>Rechts an der Wand ist in 84 cm H\u00f6he ein Notrufknopf.<\/p>""}";"{""image_small"":""images\/wc-nz\/regenb1WCf2.jpg"",""image"":""images\/wc-header\/regenb1WCf2q.jpg"",""alt"":"""",""caption"":""Sanit\u00e4rraum mit WC-Becken und Waschbecken."",""width"":"""",""height"":""""}";"{""0"":""4"",""1"":""11""}";1;1/1/2009 0:00;18/08/2021 18:10
WC BrÃ¤ustÃ¼berl Weihenstephan, Freising;wc-braeustueberl-weihenstephan;toilet;217;HalbÃ¶ffentliche Toilette in einer GaststÃ¤tte.;"Durch den Haupteingang kommt man stufenlos Ã¼ber eine 3 cm hohe Schwelle und durch einen Windfang, Typ ""Geradeaus- durch"", MaÃŸe 210x310 cm, in die GastrÃ¤ume. Die doppelflÃ¼gelige EingangstÃ¼r Ã¶ffnet nach auÃŸen auf 2x100 cm, die zweite TÃ¼r Ã¶ffnet nach innen mit der gleichen lichten Weite.";1;483.957.216;11.728.599.919.847.800;41.419.086.450.979;85.990.442.181.946;47.639.057.674.348;14;Weihenstephaner Berg;10;;85254;Freising ;Bayern;Deutschland;08161 1 30 04;http://www.braeustueberl-weihenstephan.de;info@braeustueberl-weihenstephan.de;"{""wc_shortname"":""braeus2WC1"",""wc_plan"":""braeus2WC1"",""wc_fotos"":""braeus2WC1f2"",""wc_location"":"""",""wc_ramp_length"":"""",""wc_ramp_incline"":"""",""wc_infos"":""Die sehr gro\u00dfe behindertengerechte bzw. rollstuhlgerechte Toilette befindet sich im Untergeschoss und ist barrierefrei mittels eines Treppenlifts erreichbar. Der Lifter wird vom Personal bedient und das WC wird auch vom Personal aufgesperrt.<br \/> Man kann die Lifterfahrt umgehen, indem man von der Geb\u00e4uder\u00fcckseite ins Haus kommt. Diese T\u00fcr \u00f6ffnet nach au\u00dfen auf 105 cm und ist rechts angeschlagen. An der T\u00fcr ist eine Schwelle von 2,5 cm. Der T\u00fcrgriff ist in 100 cm H\u00f6he. Dort sind auch zwei Behindertenparkpl\u00e4tze ausgewiesen."",""wc_easy"":""Die Toilette ist sehr gro\u00df und sehr gut."",""wc_doorknob"":""105"",""wc_doortaster"":"""",""wc_dooropens"":""al"",""wc_doorautopen"":""nz"",""wc_door_width"":""90"",""wc_room_diameter"":""150"",""wc_roominfos"":""Das Waschbecken ist links von der T\u00fcr. Die Waschbeckenoberkante ist auf 80 cm, und auf 68 cm unterfahrbar. \u00dcber dem Waschbecken h\u00e4ngt ein Kippspiegel, der in 92 cm bedienbar ist. Zu beiden Seiten des Waschbeckens sind feste Haltegriffe montiert."",""wc_seat"":""46"",""wc_accessleft"":""115"",""wc_accessright"":""120"",""wc_numgrip"":""zwei"",""wc_wheregrip"":""lr"",""wc_addinfo"":""Das WC-Becken ist gegen\u00fcber der T\u00fcr. Die Sp\u00fclung ist in den B\u00fcgel integriert. Im Sitzen rechts h\u00e4ngt eine Notrufschnur allerdings nur bis 90 cm \u00fcber dem Boden.""}";"{""image_small"":""images\/wc-af\/braeus2WC1f2.jpg"",""image"":""images\/wc-header\/braeus2WC1f1q.jpg"",""alt"":"""",""caption"":""Sanit\u00e4rraum mit Wasch- und WC-Becken."",""width"":"""",""height"":""""}";"{""0"":""4"",""1"":""7"",""2"":""11""}";1;1/1/2009 0:00;03/04/2020 13:49
WC Rosengarten im Westpark;wc-rosengarten-im-westpark;toilet;208;HalbÃ¶ffentliche Toilette in einer GaststÃ¤tte.;"<p>Der Haupteingang, der Eingang von der StraÃŸe her, ist barrierefrei, durch eine TÃ¼r, die auf 100 cm nach auÃŸen Ã¶ffnet, dann durch einen Windfang - Typ ""Geradeaus-durch"" - und eine zweite 94 cm breite TÃ¼r in das Lokal.</p>";1;481.229.754;115.089.092;41.673.500.410.756;8.485.317.939.074;47.437.146.235.704;14;Westendstr.;305;;81377;MÃ¼nchen ;;DE;089 57 86 93 00;http://www.rosengarten-westpark.de;info@rosengarten-westpark.de;"{""wc_shortname"":""roseng1WC1"",""wc_plan"":""roseng1WC1"",""wc_fotos"":"""",""wc_location"":""<p><strong>\u00a0<\/strong><\/p>"",""wc_ramp_length"":"""",""wc_ramp_incline"":"""",""wc_infos"":""Das WC ist stufenlos erreichbar im Erdgeschoss, gleich rechts beim Haupteingang."",""wc_easy"":""Die Toilette ist eng. \r\nEin kleiner ( Schiebe- ) Rollstuhl passt rein.\r\nDer WC-Sitz ist etwas hoch. \r\nEs gibt nur einen festen Griff rechts."",""wc_doorknob"":"""",""wc_doortaster"":"""",""wc_dooropens"":""al"",""wc_doorautopen"":""nz"",""wc_door_width"":""90"",""wc_room_diameter"":""120"",""wc_roominfos"":""<p>Das Waschbecken, Oberkante 88 cm,\u00a0 ist auf 65 cm unterfahrbar. Der Spiegel kann gekippt werden. Der Einhandmischer ist auf 110 cm H\u00f6he.<\/p>"",""wc_seat"":""50"",""wc_accessleft"":""60"",""wc_accessright"":"""",""wc_numgrip"":""zwei"",""wc_wheregrip"":""lfr"",""wc_addinfo"":""<p>Das WC-Becken ist rechts hinter dem Waschbecken. Das WC ist nur links und auch nur auf 60 cm anfahrbar.\u00a0 Rechts ist 32 cm Platz bis zur Wand.<\/p>""}";"{""image_small"":""images\/wc-nz\/roseng1WC1f1.jpg"",""image"":""images\/wc-header\/roseng1WC1f1q.jpg"",""alt"":"""",""caption"":""Sanit\u00e4rraum mit WC- und Waschbecken."",""width"":"""",""height"":""""}";"{""0"":""4"",""1"":""17""}";1;1/1/2009 0:00;28/05/2020 10:58
WC Kloster Benediktbeuern;wc-kloster-benediktbeuern;toilet;285;Ã–ffentliche Toilette auf dem KlostergelÃ¤nde - mit Euroschloss.;"<div class=""row-fluid"">
<div class=""span6"">Das Behinderten-WC ist auf dem KlostergelÃ¤nde. Man muss auÃŸen am KlostergelÃ¤nde entlang bis zur historischen Fraunhofer GlashÃ¼tte und dort dann rechts ab gehen. <br />Auf dem Bild ist rechts die RÃ¼chseite des CafÃ©s und geradeaus das Rolli-WC zu sehen.</div>
<div class=""span6""><img src=""images/wc-gm/kloste4WC1f4.jpg"" alt="""" /></div>
</div>";0;4.770.788;1.140.115;42.025.178.621.124;84.746.402.111.291;47.127.793.658.886;14;Zeiler Weg;2;;83671;Benediktbeuern ;;DE;08857 94 07;;;"{""wc_shortname"":""kloste4WC1"",""wc_plan"":""kloste4WC"",""wc_fotos"":""kloste4WC1f2, kloste4WC1f3"",""wc_location"":""Vor dem WC ist eine lange Rampe."",""wc_ramp_length"":""10"",""wc_ramp_incline"":""3"",""wc_infos"":"""",""wc_easy"":""Die Toilette ist gut.\r\nDer WC-Sitz ist zu hoch. Man kann von der rechten Seite und von vorn anfahren."",""wc_euro"":""1"",""wc_doorknob"":""105"",""wc_doortaster"":"""",""wc_dooropens"":""al"",""wc_doorautopen"":""nz"",""wc_door_width"":""90"",""wc_room_diameter"":""150"",""wc_roominfos"":""Das Waschbecken h\u00e4ngt schr\u00e4g links von der T\u00fcr. Es ist auf 65 cm unterfahrbar, die Oberkante ist in 87 cm H\u00f6he. \u00dcber dem Waschbecken\u00a0 h\u00e4ngt ein Kippspiegel."",""wc_seat"":""53"",""wc_accessleft"":"""",""wc_accessright"":""108"",""wc_numgrip"":""zwei"",""wc_wheregrip"":""rfl"",""wc_addinfo"":""""}";"{""image_small"":""images\/wc-gm\/kloste4WC1f2.jpg"",""image"":""images\/wc-header\/kloste4WC1f1q.jpg"",""alt"":"""",""caption"":""Sanit\u00e4rraum mit T\u00fcr und WC-Becken."",""width"":"""",""height"":""""}";"{""0"":""2"",""1"":""4"",""2"":""11""}";1;1/1/2009 0:00;18/07/2021 11:12
WC Alpengasthof Kreut-Alm, GroÃŸweil;wc-alpengasthof-kreut-alm;toilet;218;HalbÃ¶ffentliche Toilette in einer GaststÃ¤tte.;;1;476.747.067;113.025.672;42.066.447.792.299;84.076.658.306.372;47.102.964.083.146;14;Kreutstr.;1;;82439;GroÃŸweil ;Bayern;Deutschland;08841 58 22;http://www.kreutalm.de;info@kreutalm.de;"{""wc_shortname"":""kreuta1"",""wc_plan"":""kreuta1WC"",""wc_fotos"":""kreuta1fWC1"",""wc_location"":""Als Rollifahrer kommt man am Nebeneingang \u00fcber eine Rampe und eine flache Stufe von 4 cm und eine Doppelfl\u00fcgelt\u00fcr (lichte Weite 125 cm), die nach innen aufschl\u00e4gt, in die Gastr\u00e4ume."",""wc_ramp_length"":""1,5"",""wc_ramp_incline"":""17,5"",""wc_infos"":""Das WC ist vom Gastraum aus stufenlos erreichbar."",""wc_easy"":""Der Raum ist eng.\r\nDer WC-Sitz ist sehr hoch. Man kann nur von rechts gut anfahren."",""wc_euro"":""ka"",""wc_doorknob"":"""",""wc_doortaster"":"""",""wc_dooropens"":""al"",""wc_doorautopen"":""nz"",""wc_door_width"":""88"",""wc_room_diameter"":""110"",""wc_roominfos"":""<p>Es befindet sich im Erdgeschoss und ist in der WC-Anlage integriert. Aber leider solcherart, dass man am Pissoir vorbei muss, um ins rollstuhlgerechte WC zu gelangen. <br \/>Das Waschbecken ist auf 68 cm unterfahrbar, bei einer Oberkante von 86 cm. Der Spiegel ist nicht einsehbar (Unterkante 148 cm).<\/p>"",""wc_seat"":""55"",""wc_accessleft"":"""",""wc_accessright"":""80"",""wc_numgrip"":""zwei"",""wc_wheregrip"":""rfl"",""wc_addinfo"":""""}";"{""image_small"":""images\/wc-gm\/kreuta1fWC1.jpg"",""image"":"""",""alt"":"""",""caption"":"""",""width"":"""",""height"":""""}";"{""0"":""1"",""1"":""2"",""2"":""4"",""3"":""17""}";1;1/1/2009 0:00;18/01/2021 11:53
WC KlosterbrÃ¤u Schlehdorf;wc-klosterbraeu-schlehdorf;toilet;285;HalbÃ¶ffentliche Toilette mit Dusche in einer GaststÃ¤tte.;Man geht in die Hofeinfahrt rechts vom Hoteleingang. In der Einfahrt ist eine TÃ¼r auf der rechten Seite. Sie Ã¶ffnet nach innen auf 83 cm und ist rechts angeschlagen. Der TÃ¼rgriff ist in 100 cm HÃ¶he. Falls die TÃ¼r zu ist, sperrt das Personal gerne auf.;1;47.655.795;113.160.987;42.079.703.791.233;84.206.506.634.622;47.088.801.972.932;14;Seestr.;2;;82444;Schlehdorf;;DE;;;;"{""wc_shortname"":""kloste5WC1"",""wc_plan"":""kloste5WC1"",""wc_fotos"":"""",""wc_location"":"""",""wc_ramp_length"":"""",""wc_ramp_incline"":"""",""wc_infos"":""Die behindertengerechte bzw. rollstuhlgerechte Toilette ist dann hinten links."",""wc_easy"":""Die Toilette ist gut. \r\nMan kann den WC-Sitz von der rechte Seite und von vorn anfahren."",""wc_doorknob"":"""",""wc_doortaster"":"""",""wc_dooropens"":""sr"",""wc_doorautopen"":""nz"",""wc_door_width"":""100"",""wc_room_diameter"":""150"",""wc_roominfos"":""Das Waschbecken h\u00e4ngt rechts von der T\u00fcr, Oberkante von 82 cm, unterfahrbar auf 64 cm. Der Spiegel \u00fcber dem Waschbecken, h\u00e4ngt ab Unterkante 100 cm."",""wc_seat"":""47"",""wc_accessleft"":"""",""wc_accessright"":""200"",""wc_numgrip"":""zwei"",""wc_wheregrip"":""rfl"",""wc_addinfo"":""Neben dem WC-Becken h\u00e4ngt ein Urinal und daneben ist eine bodengleiche Dusche.""}";"{""image_small"":""images\/wc-gm\/kloste5WC1f1.jpg"",""image"":""images\/wc-header\/kloste5WC1f1q.jpg"",""alt"":"""",""caption"":""Sanit\u00e4rraum mit Dusche, Urinal und WC-Becken"",""width"":"""",""height"":""""}";"{""0"":""4"",""1"":""8"",""2"":""11""}";1;1/1/2009 0:00;18/06/2020 07:10
WC Ebersberger Alm;wc-ebersberger-alm;toilet;353;HalbÃ¶ffentliche Toilette in einer GaststÃ¤tte.;<p>Am Haupteingang ist eine 4 cm hohe Schwelle an der ersten TÃ¼r. Die TÃ¼r Ã¶ffnet auf 100cm lichte Weite nach auÃŸen, Anschlag links. Windfang gibt es keinen.<strong></strong></p>;1;4.808.886.445;11.961.919.638.882.100;41.632.730.181.679;88.203.936.455.369;47.411.818.500.848;14;LudwigshÃ¶he;3;;85560;Ebersberg ;;DE;089 92 29 11;http://www.ebersberger-alm.de;info@ebersberger-alm.de;"{""wc_shortname"":""ebersb1WC1"",""wc_plan"":""ebersb1WC1"",""wc_fotos"":"""",""wc_location"":"""",""wc_ramp_length"":"""",""wc_ramp_incline"":"""",""wc_infos"":""Das WC befindet sich im Erdgeschoss gegen\u00fcber der Haupteingangst\u00fcr."",""wc_easy"":""Mit einem gro\u00dfen ( Elektro- ) Rollstuhl kann es schwierig werden.\r\nDer WC-Sitz ist hoch.\r\nMan kann den WC-Sitz nur an der rechten Seite anfahren."",""wc_euro"":""0"",""wc_doorknob"":"""",""wc_doortaster"":"""",""wc_dooropens"":""ar"",""wc_doorautopen"":""nz"",""wc_door_width"":""95"",""wc_room_diameter"":""100"",""wc_roominfos"":""Die erste T\u00fcr zur WC-Anlage hat eine lichte Weite von 90 cm und schl\u00e4gt nach innen auf. <br \/> Das <strong><\/strong>Waschbecken,<strong> <\/strong> Oberkante 80 cm, ist auf 62 cm unterfahrbar. Dr\u00fcber h\u00e4ngt ein nicht einsehbarer Spiegel.<br \/><strong><\/strong>"",""wc_seat"":""52"",""wc_accessleft"":"""",""wc_accessright"":""115"",""wc_numgrip"":""zwei"",""wc_wheregrip"":""rfl"",""wc_addinfo"":""Das WC-Becken ist gegen\u00fcber von der T\u00fcr.""}";"{""image_small"":""images\/wc-af\/ebersb1fa1.jpg"",""image"":"""",""alt"":"""",""caption"":"""",""width"":"""",""height"":""""}";"{""0"":""1"",""1"":""4"",""2"":""20""}";1;1/1/2009 0:00;18/12/2020 11:54
